Reg_id,Gender,Age,Construction,New Construction,Elevator,Floors,Floor_area,Rooms,Bathrooms,Ceiling_height,Floor,Balcony,Furnished,Renovation,Children Welcome,Pets Allowed,Utility Payments,Address,Price,Currency,Duration,Date,Amenities,Appliances,Parking,Index,EXCLUDED_ID,REASON,Monthly USD Price
1,Female,53,monolith,True,True,8.0,170.0,4.0,2.0,2.8,4.0,open_balcony,1,euro_renovation,1.0,0.0,0.0,"Pushkin Street, Yerevan",2600.0,USD,monthly,2023-01-07,"television,_air_conditioner,_internet,_parking_space","fridge,_stove,_microwave,_dishwasher,_washing_machine",outdoor_parking,A208,208,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,1020.0723922342876
1,Female,21,stone,False,False,5.0,50.0,1.0,1.0,2.8,3.0,open_balcony,0,cosmetic_renovation,1.0,0.0,0.0,"Dro street, Yerevan",155000.0,AMD,monthly,2023-01-07,,,,A211,211,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1412.4079277090136
1,Male,68,monolith,True,True,8.0,120.0,3.0,2.0,3.0,8.0,open_balcony,1,designer_renovation,1.0,0.0,1.0,"Northern Avenue 6, Yerevan",150.0,USD,daily,2023-01-07,"television,_air_conditioner,_internet,_parking_space","fridge,_stove,_microwave,_coffee_maker,_washing_machine,_iron,_hair_dryer",,A225,225,The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,1177.006606424178
1,Male,35,stone,False,False,2.0,30.0,1.0,1.0,2.8,1.0,0,1,major_renovation,2.0,0.0,1.0,"Улица Сурб Григора Лусаворича 3/2, Ереван",1100.0,USD,monthly,2023-01-07,"air_conditioner,_internet,_parking_space","fridge,_stove,_microwave,_coffee_maker,_washing_machine,_water_heater,_iron,_hair_dryer",outdoor_parking,A235,235,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,2197.0789986584655
1,Female,29,panels,False,False,5.0,30.0,2.0,1.0,2.6,3.0,0,1,cosmetic_renovation,1.0,2.0,1.0,"Jughayi street 6, Yerevan",13000.0,AMD,daily,2023-01-07,"television,_internet,_parking_space","fridge,_stove,_coffee_maker,_washing_machine,_iron",,A236,236,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,1961.67767737363
1,Female,61,monolith,True,True,8.0,100.0,3.0,2.0,3.0,8.0,open_balcony,1,designer_renovation,2.0,2.0,0.0,"Նիկողայոս Ադոնցի փողոց 4/3, Երևան",700000.0,AMD,monthly,2023-01-07,"television,_air_conditioner,_internet,_parking_space","fridge,_stove,_microwave,_coffee_maker,_washing_machine,_iron",garage,A243,243,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1177.006606424178
1,Male,25,stone,True,False,2.0,30.0,2.0,1.0,2.7,1.0,0,1,cosmetic_renovation,0.0,0.0,0.0,"Ազատամարտիկների պողոտայի 2-րդ նրբանցք 5/1, Երևան",160000.0,AMD,monthly,2023-01-07,,,,A247,247,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,2354.013212848356
1,Female,61,monolith,True,True,15.0,140.0,4.0,2.0,3.0,14.0,multiple_balconies,,designer_renovation,0.0,0.0,0.0,"Davidashen 4-th block, Yerevan",2000.0,USD,monthly,2023-01-07,,,,A248,248,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,1333.9408206140683
1,Male,69,stone,True,True,8.0,110.0,3.0,1.0,2.8,4.0,multiple_balconies,1,euro_renovation,2.0,0.0,0.0,"Paruyr Sevak St, Yerevan",700000.0,AMD,monthly,2023-01-07,"air_conditioner,_internet","fridge,_stove,_washing_machine,_water_heater,_iron",outdoor_parking,A260,260,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1804.7434631837396
1,Male,65,stone,False,True,6.0,150.0,3.0,2.0,3.2,3.0,multiple_balconies,1,euro_renovation,0.0,0.0,0.0,"Abovyan street, Yerevan",3000.0,USD,monthly,2023-01-07,,,,A264,264,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1020.0723922342876
1,Male,69,stone,False,False,4.0,64.0,3.0,1.0,3.0,2.0,0,1,euro_renovation,1.0,2.0,0.0,"Mesrop Mashtots Avenue 51, Yerevan",650000.0,AMD,monthly,2023-01-07,"television,_air_conditioner,_internet","fridge,_stove,_dishwasher,_washing_machine,_water_heater",outdoor_parking,A273,273,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,941.6052851393424
1,Male,19,monolith,True,True,9.0,280.0,4.0,3.0,3.0,7.0,open_balcony,1,designer_renovation,1.0,0.0,0.0,"Byuzand Street, Yerevan",3400.0,USD,monthly,2023-01-07,"television,_air_conditioner,_internet,_parking_space","fridge,_stove,_microwave,_coffee_maker,_washing_machine,_iron,_hair_dryer",outdoor_parking,A276,276,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1098.5394993292327
